filename, language, Markdown, JSON, Ignore, C#, XML, JavaScript, HTML, TypeScript, CSS, Properties, Log, comment, blank, total
job-seeker-spa\src\app\jobseeker\reports-jobseeker\reports-jobseeker.component.html, HTML, 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 0, 44, 207
job-seeker-spa\src\app\jobseeker\reports-jobseeker\reports-jobseeker.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\jobseeker\reports-jobseeker\reports-jobseeker.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 4, 16, 67
job-seeker-spa\src\app\nav\nav.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 10, 15, 87
job-seeker-spa\src\app\nav\nav.component.html, HTML, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 16, 31, 143
job-seeker-spa\src\app\nav\nav.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\nav\nav.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 3, 15, 78
job-seeker-spa\src\app\reports\employees-report\employees-report.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
job-seeker-spa\src\app\reports\employees-report\employees-report.component.html, HTML, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 33, 103
job-seeker-spa\src\app\reports\employees-report\employees-report.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\reports\employees-report\employees-report.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 10, 31, 123
job-seeker-spa\src\app\reports\jobs-report\jobs-report.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
job-seeker-spa\src\app\reports\jobs-report\jobs-report.component.html, HTML, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 12, 34, 145
job-seeker-spa\src\app\reports\jobs-report\jobs-report.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\reports\jobs-report\jobs-report.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 10, 28, 125
job-seeker-spa\src\app\reports\jobseekers-report-admin\jobseekers-report-admin.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
job-seeker-spa\src\app\reports\jobseekers-report-admin\jobseekers-report-admin.component.html, HTML, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 34, 146
job-seeker-spa\src\app\reports\jobseekers-report-admin\jobseekers-report-admin.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
job-seeker-spa\src\app\reports\jobseekers-report-admin\jobseekers-report-admin.component.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 10, 28, 127
job-seeker-spa\src\app\sanitizeUrl.pipe.spec.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 3, 12
job-seeker-spa\src\app\sanitizeUrl.pipe.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
